"港度","欧度","美度","日度","直径(mm)","周长(mm)"
"1","41","1","-","12.0","37.70"
"2","42","1.25","-","12.5","39.27"
"3","43","1.75","1","12.9","40.53"
"4","44","2","2","13.3","41.78"
"5","45","2.5","3","13.6","42.73"
"6","46","3","4","14.25","44.77"
"7","47","3.25","5","15.6","49.01"
"8","48","3.75","6","14.9","46.81"
"9","49","4.25","7","15.3","48.07"
"10","50","4.75","9","15.65","49.17"
"11","51","5","10","16.0","50.27"
"12","52","5.5","11","16.3","51.21"
"13","53","6","12","16.6","52.15"
"14","54","6.25","13","17.0","53.41"
"15","55","6.75","14","17.4","54.66"
"16","56","7","15","17.7","55.61"
"17","57","7.5","16","18.1","56.86"
"18","58","8","17","18.4","57.81"
"19","59","8.5","18","18.8","59.06"
"20","60","9","19","19.15","60.16"
"21","61","9.25","20","19.5","61.26"
"22","62","9.75","21","19.85","62.36"
"23","63","10.25","22","20.15","63.30"
"24","64","10.5","23","20.55","64.56"
"25","65","11","24","20.9","65.66"
"26","66","11.5","25","21.25","66.76"
"27","67","11.75","26","21.6","67.86"
"28","68","12.25","27","21.9","68.80"
"29","69","12.5","28","22.2","69.74"
"30","70","13","29","22.5","70.69"
